trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-82.28637820260911,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-102.66725404179358,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-50.58285022842156,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-197.434320896731,"{0: 17, 1: 1, 2: 9, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-61.80465212871324,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-36.69641850037267,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-1.2295811951138844,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,3,-109.78103499079631,"{0: 12, 1: 1, 2: 0, 3: 2, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-67.38474141248679,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-160.1165386341079,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,5,-81.68017038165317,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-96.3077634445232,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-37.91586411493211,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-242.76862511114936,"{0: 16, 1: 1, 2: 8, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,10,8.164655011542001,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-53.4608743304114,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-54.2429998743427,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,3,-72.910506569954,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,6,-22.789099355743364,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-22.58280650708048,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 0}",20,4,-19.91855319729025,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 0}",20,0,-38.76759455672497,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 0}",30,0,-10.924638850442312,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 0}",25,1,12.453571296202702,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0.5, 'e': 0}",25,0,-1.2210304558310796,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 0}",20,16,7.0571148057472755,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 0}",20,0,16.502624600218855,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 0}",25,0,-60.982418629649054,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 0}",20,0,13.441642782348037,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 0}",25,2,28.182651595265554,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
