trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.997}",35,0,-127.05343192845648,"{0: 24, 1: 3, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.994009}",20,0,-49.13055235803613,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.991026973}",20,0,-46.643546026910954,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.988053892081}",30,0,-122.08626858890082,"{0: 19, 1: 2, 2: 5, 3: 4, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.985089730404757}",20,0,-177.8891921135918,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.9821344612135428}",25,0,-151.06784254675034,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.979188057829902}",20,0,-94.61317467889378,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9762504936564124}",20,0,-67.46530712661027,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9733217421754431}",20,0,-64.33546202126982,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9704017769489168}",20,0,-82.16174194780473,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9674905716180701}",30,0,-106.31102039933276,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9645880999032158}",20,0,-38.62704855179353,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9616943356035061}",25,0,-163.95599168375466,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9588092525966957}",20,0,-150.8082284266183,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9559328248389056}",25,0,-16.871605103062873,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9530650263643888}",25,0,-191.82693105629747,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9502058312852957}",20,0,-131.01647317890877,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9473552137914398}",20,0,-74.88361041723986,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9445131481500655}",25,0,-66.73533032693722,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9416796087056153}",30,0,-104.18630303758242,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9388545698794984}",30,0,-122.99567114567557,"{0: 17, 1: 4, 2: 5, 3: 4, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9360380061698599}",20,0,-113.87739817025113,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9332298921513503}",20,0,-164.25435943935966,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.9304302024748963}",25,0,-114.37806334982095,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9276389118674716}",20,0,-169.13887390114428,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9248559951318692}",25,0,-66.04242765495826,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9220814271464736}",20,0,-76.93274165458843,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9193151828650341}",20,0,-51.609826581745956,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.916557237316439}",25,0,-73.80486946462415,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9138075656044897}",20,0,-51.676761748746664,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9110661429076763}",25,0,-42.00129351792684,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
