trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.51935854336256,"{0: 6, 1: 3, 2: 8, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-203.30014730504672,"{0: 16, 1: 5, 2: 3, 3: 4, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.73075387777483,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.9075068771748,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.61899335492893,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.50069588176187,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.93480602968785,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.93339679000874,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.8191608674976,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.80696395782935,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.47701983634633,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.5975551122508,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.22615379222904,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.60564110034395,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-32.94161292513663,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.53251162492097,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,2,-200.68372964712634,"{0: 18, 1: 3, 2: 7, 3: 3, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.57420231646932,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.10137720371108,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-250.9452933350193,"{0: 12, 1: 4, 2: 8, 3: 4, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-167.0734311159845,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,10,-117.04837321610489,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 2}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,4,-72.92573887805624,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.88007029126958,"{0: 14, 1: 0, 2: 8, 3: 3, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.8113275834861,"{0: 15, 1: 6, 2: 1, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.40657824577845,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-129.16605348940158,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-100.20913783389773,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-244.30686179741258,"{0: 16, 1: 3, 2: 5, 3: 2, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-59.12539509954241,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
