trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,10,-83.22339426174192,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.9024999999999999}",25,0,-106.30436155255803,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",35,0,-173.35929212005567,"{0: 23, 1: 2, 2: 5, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,0,-88.46916574334821,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999998}",30,0,-187.76888225920808,"{0: 18, 1: 0, 2: 9, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,0,-115.21885393642096,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",25,0,-130.97285204999235,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",20,0,-94.91745238135474,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",30,22,1.0985227154085777,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5987369392383787}",20,0,-51.49996592716821,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764597}",20,13,-9.274269883362456,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.5403600876626367}",30,15,-20.483213114521607,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.5133420832795048}",25,0,-54.597227523626145,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.48767497911552954}",20,0,-71.35439621770745,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.46329123015975304}",30,0,-21.360191081834827,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.44012666865176536}",25,0,-18.793890460258268,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.4181203352191771}",20,0,-187.57069127052648,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.3972143184582182}",20,8,-5.960962959630914,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.37735360253530725}",20,3,-5.160971514878899,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.3584859224085419}",20,0,-54.31958483595971,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.34056162628811476}",30,0,-174.08012948267458,"{0: 19, 1: 1, 2: 5, 3: 3, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.323533544973709}",20,0,-6.459490724689195,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.3073568677250236}",20,10,4.65511521470158,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.2919890243387724}",20,16,5.858948771775475,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.27738957312183377}",25,0,-79.99352796008743,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.26352009446574204}",30,0,-4.871209104661041,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.2503440897424549}",20,0,-76.69007453816666,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.23782688525533216}",25,12,5.193000470693983,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.22593554099256555}",25,0,-71.62564027753115,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.21463876394293727}",20,0,-126.61182753565437,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.2039068257457904}",30,19,-36.56277939422773,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.19371148445850087}",20,10,12.090608086875838,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.1840259102355758}",30,8,-30.072247067835104,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.174824614723797}",20,0,-83.64263229363495,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.16608338398760716}",20,8,-2.981337554354031,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.1577792147882268}",25,0,-80.21320518629398,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.14989025404881545}",20,0,-22.151440816687842,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.14239574134637467}",25,0,-35.13344895973424,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.13527595427905592}",25,0,-12.295235842286797,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.12851215656510312}",30,0,-43.63922203958986,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.12208654873684796}",20,0,10.278425067669255,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.11598222130000556}",30,0,-44.974114088323375,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.11018311023500528}",25,0,-49.3710810432996,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.10467395472325501}",25,3,17.22561330444535,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.09944025698709225}",20,0,23.282780781372615,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.09446824413773763}",25,2,-14.760880236313117,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.08974483193085074}",35,0,-21.41500274204264,"{0: 32, 1: 0, 2: 1, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.0852575903343082}",25,0,-40.75189924795191,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.0809947108175928}",25,18,11.862631700982146,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.07694497527671315}",30,22,2.6693714429185222,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.07309772651287749}",25,0,29.699615041042435,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.06944284018723361}",25,18,13.044071415355296,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.06597069817787193}",25,7,28.538918798464323,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.06267216326897833}",20,0,6.279516939517741,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.05953855510552941}",25,2,-18.478289122981234,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.056561627350252934}",20,5,1.552353280078372,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.053733545982740286}",30,0,20.774707906591928,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.051046868683603266}",25,0,30.873371934501677,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.048494525249423104}",25,0,-35.53538880241514,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.046069798986951946}",35,0,-28.06127615068814,"{0: 32, 1: 1, 2: 0, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.043766309037604346}",20,6,18.185554985144186,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
